,id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
66,tt1016165,the dancing llama,(2006),8.5,not certified,17 min,"animation, short",10,0,nm2628295,kevin r. harman,"nm2631794,nm2628295,nm2632300,nm2631157","travis comstock,kevin r. harman,carson lindaman,nick schade","a world-renowned tap-dancing llama named davy develops a spitting disorder that ruins his reputation and self-esteem. to make things worse, a twirling starfish named diego challenges his ...                see full summary »"
67,tt8215930,la bestia,(2018),11.0,not certified,0 min,"short, mystery, thriller",0,0,nm8310475,alejo correa,"nm12769399,nm0029405,nm0029406,nm0290499","misho amoli,gustavo angarita jr.,gustavo angarita,adriana franco","after alicia decides to bury her husband's body in a remote place, she remains trapped after the tires of her car are stolen. in search for a telephone, she stumbles upon the humble home of...                see full summary »"
68,tt4298822,henry david thoreau: surveyor of the soul,(2017),11.0,not certified,114 min,"documentary, biography",0,0,/name/nm3665153/,huey,anonymous,nm0000000,"thoreau wrote that he ""was born in the nick of time"" in concord, massachusetts and went on to famously write about building a cabin and living at walden pond. surveyor of the soul tells the...                see full summary »"
69,tt0643411,mathnet,(1987–1992),11.0,not certified,0 min,"comedy, crime, family",0,0,nm0872442,jesús salvador treviño,"nm0397394,nm0929780,nm0215754,nm0223694","joe howard,bari k. willerford,emilio del pozo,toni di buono",a young girl with the help of the mathnetters goes on a treasure hunt to try to clear her old relative's name.
70,tt1482353,the mentalist,(2008–2015),8.6,tv-14,43 min,"crime, drama, mystery","1,515",0,nm0485637,eric laneuville,"nm0048932,nm0000677,nm1085727,nm1466859","simon baker,robin tunney,tim kang,owain yeoman",a paedophile who agent lisbon caught and sent to prison is shot and killed. the evidence points to lisbon herself and she has no alibi.
71,tt5101584,king geunchogo,(2010–2011),11.0,not certified,50 min,"biography, drama, history",0,0,anonymous,nm0000000,"nm1165487,nm1790874,nm1067170,nm4928680","woo-seong kam,kim ji-soo,jong-won lee,ji-hoon lee","yeogu finds out who soekkop's parents are and figures out his true identity. also, sa gi and the princess have major marital spat."
72,tt6410534,the portal,(2017),4.9,not certified,75 min,horror,876,0,"nm1920593,nm4490875,nm3877467","svend ploug johansen,nicky hawthorne,ruben rodriguez","nm4787395,nm5036746,nm1024046,nm7589573","renne araujo,angela borrello,jules bruff,reggie couz",an anthology of horror shorts about death.
73,tt10284242,the monster's club,(2020),9.2,not certified,0 min,"short, drama, mystery",14,0,nm9183263,federica alice carlino,"nm8047361,nm7694045,nm9971772,nm9182324","germano blanco,hechan dasilva,max vector,mark stancato","1999, three teenage friends decide to organize a prank to be on tv, but things turn deadly. 20 years later the past comes back to haunt who's left.."
74,tt5005820,sonic boom,(2014–2017),7.9,tv-y,11 min,"animation, short, action",112,0,anonymous,nm0000000,"nm0293749,nm1539385,nm0642601,nm0689685","bill freiberger,johannes oliver hamm,colleen o'shaughnessey,mike pollock","eggman's particle accelerator goes missing and all evidence points to sonic, so sonic sets out to find what really happened."
75,tt2016274,s.t.a.l.k.e.r.: monolith's whisper,(2011 video),8.3,not certified,68 min,sci-fi,89,0,"nm4650239,nm4628759,nm4632957,nm4652547","gabriel zang,ernesto abrines,esteban dal monte,césar dieguez","nm4650239,nm4628759,nm4636721,nm5344482","gabriel zang,ernesto abrines,ezequiel trías,césar dieguez","alexey enters 'the zone' to find his lost brother after ""the second catastrophe"" as depicted in the video game stalker: shadow of chernobyl."
